date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:27	117/117	---M-Z	200	added ('OK')	text/plain	etag:%2211-1712850040;gz%22	https://www.littleangels.com.ng/robots.txt		(from )
16:53:27	186525/186525	---M-Z	200	added ('OK')	text/html	etag:%223-1712741949;gz%22	https://www.littleangels.com.ng/	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/index.html	(from )
16:53:29	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2011%20Apr%202024%2015:53:29%20GMT	https://www.littleangels.com.ng/xmlrpc.php	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/xmlrpc.php	(from https://www.littleangels.com.ng/)
16:53:30	22546/22546	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/jquery-confirm.min.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/jquery-confirm.mine63c.css	(from https://www.littleangels.com.ng/)
16:53:30	11299/11299	---M-Z	200	added ('OK')	application/rss+xml	etag:%225ab1aad1b0b55700bf9cd8f9722156f8%22	https://www.littleangels.com.ng/feed/	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/feed/index.html	(from https://www.littleangels.com.ng/)
16:53:30	1714/1714	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b9a8afbfe961e23e74dd2270c3267994%22	https://www.littleangels.com.ng/comments/feed/	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/comments/feed/index.html	(from https://www.littleangels.com.ng/)
16:53:31	6741/6741	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/toastr.min.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/toastr.mine63c.css	(from https://www.littleangels.com.ng/)
16:53:32	2870/2870	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/zebra_datepicker.min.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/zebra_datepicker.mine63c.css	(from https://www.littleangels.com.ng/)
16:53:32	10884/10884	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/print/wlsm-preview.css?ver=5.1	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/print/wlsm-previewc721.css	(from https://www.littleangels.com.ng/)
16:53:32	10210/10210	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/wlsm.css?ver=5.1	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/wlsmc721.css	(from https://www.littleangels.com.ng/)
16:53:33	6355/6355	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2011:16:35%20GMT	https://www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/wlsm-dashboard.css?ver=5.1	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/school-management-pro/assets/css/wlsm-dashboardc721.css	(from https://www.littleangels.com.ng/)
16:53:33	2879/2879	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/assets/css/thim-icons.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/assets/css/thim-iconse63c.css	(from https://www.littleangels.com.ng/)
16:53:33	3265/3265	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/assets/css/flaticon.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/assets/css/flaticone63c.css	(from https://www.littleangels.com.ng/)
16:53:34	8250/8250	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/assets/css/font-pe-icon-7.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/assets/css/font-pe-icon-7e63c.css	(from https://www.littleangels.com.ng/)
16:53:34	51354/51354	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/assets/css/ionicons.min.css?ver=6.5.2	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/assets/css/ionicons.mine63c.css	(from https://www.littleangels.com.ng/)
16:53:35	118630/118630	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202024%2018:18:46%20GMT	https://www.littleangels.com.ng/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.3	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/elementor/assets/css/frontend-lite.mince8e.css	(from https://www.littleangels.com.ng/)
16:53:36	16471/16471	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2015:22:46%20GMT	https://www.littleangels.com.ng/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://www.littleangels.com.ng/)
16:53:37	8820/8820	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202024%2012:32:32%20GMT	https://www.littleangels.com.ng/wp-content/plugins/thim-elementor-kit/build/frontend.css?ver=1.1.8	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/thim-elementor-kit/build/frontendda20.css	(from https://www.littleangels.com.ng/)
16:53:38	73625/73625	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2015:22:46%20GMT	https://www.littleangels.com.ng/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css?ver=1.1.8	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/elementor/assets/lib/font-awesome/css/allda20.css	(from https://www.littleangels.com.ng/)
16:53:38	264267/264267	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202023%2019:33:52%20GMT	https://www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-07-at-13.02.23_ac460b68.jpg	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-07-at-13.02.23_ac460b68.jpg	(from https://www.littleangels.com.ng/)
16:53:38	239543/239543	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202023%2020:18:07%20GMT	https://www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-04-at-17.17.18_339cd090.jpg	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-04-at-17.17.18_339cd090.jpg	(from https://www.littleangels.com.ng/)
16:53:39	26702/26702	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/assets/css/v4-shims.min.css?ver=5.2.0	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/assets/css/v4-shims.minf08a.css	(from https://www.littleangels.com.ng/)
16:53:40	46140/46140	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202024%2012:32:32%20GMT	https://www.littleangels.com.ng/wp-content/plugins/thim-elementor-kit/build/libraries/thim-ekits/css/thim-ekits-icons.min.css?ver=1.1.8	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/thim-elementor-kit/build/libraries/thim-ekits/css/thim-ekits-icons.minda20.css	(from https://www.littleangels.com.ng/)
16:53:40	255/255	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2012:14:32%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma-child/style.css?ver=5.2.0	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma-child/stylef08a.css	(from https://www.littleangels.com.ng/)
16:53:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Apr%202024%2015:53:41%20GMT	http://eduma.thimpress.com/thim-2/wp-content/themes/eduma/images/patterns/pattern1.png	C:/Users/sunny/Desktop/little%20angels%20site/eduma.thimpress.com/thim-2/wp-content/themes/eduma/images/patterns/pattern1.15.delayed	(from https://www.littleangels.com.ng/)
16:53:43	1230837/1230837	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2013:44:28%20GMT	https://www.littleangels.com.ng/wp-content/themes/eduma/style.css?ver=5.2.0	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/themes/eduma/stylef08a.css	(from https://www.littleangels.com.ng/)
16:53:44	834/834	---M--	200	added ('OK')	image/png	etag:%2263a268c9-342%22	https://eduma.thimpress.com/thim-2/wp-content/themes/eduma/images/patterns/pattern1.png	C:/Users/sunny/Desktop/little%20angels%20site/eduma.thimpress.com/thim-2/wp-content/themes/eduma/images/patterns/pattern1.png	(from https://www.littleangels.com.ng/)
16:53:48	24869/24869	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2012:59:56%20GMT	https://www.littleangels.com.ng/wp-content/plugins/profile-builder/assets/css/style-front-end.css?ver=3.11.4	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/plugins/profile-builder/assets/css/style-front-endb5ca.css	(from https://www.littleangels.com.ng/)
16:53:48	191115/191115	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202023%2013:12:02%20GMT	https://www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-04-at-17.16.31_090671fe.jpg	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-04-at-17.16.31_090671fe.jpg	(from https://www.littleangels.com.ng/)
16:53:49	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2015:19:24%20GMT	https://www.littleangels.com.ng/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.littleangels.com.ng/)
16:53:49	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202023%2002:44:24%20GMT	https://www.littleangels.com.ng/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.littleangels.com.ng/)
16:53:50	852/852	---M-Z	200	added ('OK')	text/xml	date:Thu,%2011%20Apr%202024%2015:53:50%20GMT	https://www.littleangels.com.ng/xmlrpc.php?rsd	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/xmlrpc0db0.php	(from https://www.littleangels.com.ng/)
16:53:50	61521/61521	---M--	200	added ('OK')	application/json	etag:%2213-1712850066;;;%22	https://www.littleangels.com.ng/wp-json/wp/v2/pages/9997	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-json/wp/v2/pages/9997.json	(from https://www.littleangels.com.ng/)
16:53:50	2161/2161	---M--	200	added ('OK')	application/json	etag:%2214-1712850069;;;%22	https://www.littleangels.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.littleangels.com.ng%2F	C:/Users/sunny/Desktop/little%20angels%20site/www.littleangels.com.ng/wp-json/oembed/1.0/embed8580.json	(from https://www.littleangels.com.ng/)
